st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,1,Sheopur,KONERU KONAPPA,Bharat Rashtra Samithi,60379,235,60614,32.43
S12,Madhya Pradesh,1,Sheopur,R.S. PRAVEEN KUMAR,Bahujan Samaj Party,44151,495,44646,23.89
S12,Madhya Pradesh,1,Sheopur,RRAAVI SRINWASS,Indian National Congress,8406,21,8427,4.51
S12,Madhya Pradesh,1,Sheopur,DR.PALVAI HARISH BABU,Bharatiya Janata Party,63302,400,63702,34.09
S12,Madhya Pradesh,1,Sheopur,KAMRA NAGESH,India Praja Bandhu Party,626,1,627,0.34
S12,Madhya Pradesh,1,Sheopur,GAMTIDAS KHOBRAGADE,New India Party,246,0,246,0.13
S12,Madhya Pradesh,1,Sheopur,JADI. DEEPAK,Republican Party of India,233,1,234,0.13
S12,Madhya Pradesh,1,Sheopur,DONGRI PRAVEEN KUMAR,All India Forward Bloc,358,2,360,0.19
S12,Madhya Pradesh,1,Sheopur,PARCHAKI KESHAV RAO,Gondvana Gantantra Party,305,0,305,0.16
S12,Madhya Pradesh,1,Sheopur,RAMTENKI AJAY KUMAR,Prabuddha Republican Party,1084,1,1085,0.58
S12,Madhya Pradesh,1,Sheopur,YELUMULE MANOHAR,Independent,1812,1,1813,0.97
S12,Madhya Pradesh,1,Sheopur,DASARI VENKATESH,Independent,1300,1,1301,0.7
S12,Madhya Pradesh,1,Sheopur,DR.DESHAGANI SAMBASHIVA GOUD,Independent,1324,0,1324,0.71
S12,Madhya Pradesh,1,Sheopur,NOTA,None of the Above,2193,3,2196,1.18
