st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S29,Telangana,15,Yellareddy,JAMUNA RATHLA,Bahujan Samaj Party,1955,18,1973,1.07
S29,Telangana,15,Yellareddy,BANSWADA SUBHASH REDDY,Bharatiya Janata Party,26709,291,27000,14.61
S29,Telangana,15,Yellareddy,MADAN MOHAN RAO. K,Indian National Congress,86276,713,86989,47.07
S29,Telangana,15,Yellareddy,SURENDAR JAJALA,Bharat Rashtra Samithi,62655,333,62988,34.08
S29,Telangana,15,Yellareddy,GURRAPU PEDDAKOLLA JAI KUMAR,Bharatha Chaitanya Yuvajana Party,866,1,867,0.47
S29,Telangana,15,Yellareddy,BALRAJU TALARI,Praja Shanthi Party,459,0,459,0.25
S29,Telangana,15,Yellareddy,MUDRICHA SUBHASH,Gana Suraksha Party,676,5,681,0.37
S29,Telangana,15,Yellareddy,SRINIVAS BADHAVATH,Vidhyarthula Rajakiya Party,361,0,361,0.2
S29,Telangana,15,Yellareddy,SHAMBUGALLA LAXMAIAH,Dharma Samaj Party,886,8,894,0.48
S29,Telangana,15,Yellareddy,AMAR SINGH BAMAN,Independent,736,0,736,0.4
S29,Telangana,15,Yellareddy,MYATHARI SANJEEVULU,Independent,551,1,552,0.3
S29,Telangana,15,Yellareddy,NOTA,None of the Above,1284,16,1300,0.7
