st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,84,Jaisinghnagar,AYATU RAM MANDAVI,Bahujan Samaj Party,3483,5,3488,2.43
S12,Madhya Pradesh,84,Jaisinghnagar,KEDAR KASHYAP,Bharatiya Janata Party,68838,272,69110,48.2
S12,Madhya Pradesh,84,Jaisinghnagar,CHANDAN KASHYAP,Indian National Congress,49590,332,49922,34.82
S12,Madhya Pradesh,84,Jaisinghnagar,NARENDRA KUMAR NAG,Aam Aadmi Party,3971,37,4008,2.8
S12,Madhya Pradesh,84,Jaisinghnagar,BALIRAM KACHLAM,Janta Congress Chhattisgarh (J),998,6,1004,0.7
S12,Madhya Pradesh,84,Jaisinghnagar,PHULSINGH KACHLAM,Communist Party of India,5588,18,5606,3.91
S12,Madhya Pradesh,84,Jaisinghnagar,RAMSAY DUGGA,Forward Democratic Labour Party,1241,2,1243,0.87
S12,Madhya Pradesh,84,Jaisinghnagar,RAMURAM USENDI,Rashtriya Jansabha Party,1458,2,1460,1.02
S12,Madhya Pradesh,84,Jaisinghnagar,SUKHLAL KARANGA,Independent,2147,1,2148,1.5
S12,Madhya Pradesh,84,Jaisinghnagar,NOTA,None of the Above,5379,2,5381,3.75
