st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S26,Chhattisgarh,43,Bilaigarh,KAVITA PRAN LAHREY,Indian National Congress,81156,491,81647,37.92
S26,Chhattisgarh,43,Bilaigarh,DADU RAM PREMI,Aam Aadmi Party,1405,10,1415,0.66
S26,Chhattisgarh,43,Bilaigarh,DR. DINESH LAL JANGDEY,Bharatiya Janata Party,63329,379,63708,29.59
S26,Chhattisgarh,43,Bilaigarh,DR. BRAMHANAND MARKANDEY (PROFESSOR),Janta Congress Chhattisgarh (J),1227,5,1232,0.57
S26,Chhattisgarh,43,Bilaigarh,SHYAM TANDAN,Bahujan Samaj Party,61416,504,61920,28.76
S26,Chhattisgarh,43,Bilaigarh,FOOL KUMARI JANGDE,Hamar Raj Party,949,4,953,0.44
S26,Chhattisgarh,43,Bilaigarh,BUDHRAM RATREY,Chhattisgarhiya Party,577,1,578,0.27
S26,Chhattisgarh,43,Bilaigarh,RAMESHWAR SONWANI,Johar Chhattisgarh Party,806,2,808,0.38
S26,Chhattisgarh,43,Bilaigarh,SANTOSH KUMAR SONWANI,Janata Congress,747,1,748,0.35
S26,Chhattisgarh,43,Bilaigarh,NOTA,None of the Above,2317,7,2324,1.08
