st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,1,Sheopur,GULAB KAMRO,Indian National Congress,50531,359,50890,34.23
S12,Madhya Pradesh,1,Sheopur,RENUKA SINGH SARUTA,Bharatiya Janata Party,55501,308,55809,37.54
S12,Madhya Pradesh,1,Sheopur,SUKHMANTI SINGH,Janta Congress Chhattisgarh (J),1130,3,1133,0.76
S12,Madhya Pradesh,1,Sheopur,PHOOLMATI GOND KARIA LATHI BAHAN JI,Samajwadi Party,467,2,469,0.32
S12,Madhya Pradesh,1,Sheopur,LALLA BAIGA,Gana Suraksha Party,1263,1,1264,0.85
S12,Madhya Pradesh,1,Sheopur,SHYAM SINGH MARKAM,Gondvana Gantantra Party,33755,108,33863,22.78
S12,Madhya Pradesh,1,Sheopur,SANTOSHI,Chhattisgarhiya Party,653,1,654,0.44
S12,Madhya Pradesh,1,Sheopur,SHIMLA CHERWA,Independent,980,1,981,0.66
S12,Madhya Pradesh,1,Sheopur,SHUBH SHARAN SINGH,Independent,1042,0,1042,0.7
S12,Madhya Pradesh,1,Sheopur,NOTA,None of the Above,2568,5,2573,1.73
S12,Madhya Pradesh,2,Vijaypur,ADITYA RAJ (DAVID BHAIYA),Janta Congress Chhattisgarh (J),1500,19,1519,1.51
S12,Madhya Pradesh,2,Vijaypur,RAMESH SINGH VAKIL,Indian National Congress,36381,242,36623,36.39
S12,Madhya Pradesh,2,Vijaypur,SHYAM BIHARI JAISWAL,Bharatiya Janata Party,48189,314,48503,48.19
S12,Madhya Pradesh,2,Vijaypur,AYODHYA PRASAD VIRGATH,Chhattisgarhiya Party,564,0,564,0.56
S12,Madhya Pradesh,2,Vijaypur,ARUNA PANIKA,Gana Suraksha Party,342,0,342,0.34
S12,Madhya Pradesh,2,Vijaypur,OMPRAKASH AHIRVAR,Peoples Party of India (Democratic),251,2,253,0.25
S12,Madhya Pradesh,2,Vijaypur,MAHESH PRASAD,Bhartiya Shakti Chetna Party,535,1,536,0.53
S12,Madhya Pradesh,2,Vijaypur,SHEKH ISMAIL,Gondvana Gantantra Party,10378,33,10411,10.34
S12,Madhya Pradesh,2,Vijaypur,SUNITA VERMA,Independent,594,1,595,0.59
S12,Madhya Pradesh,2,Vijaypur,NOTA,None of the Above,1303,5,1308,1.3
S12,Madhya Pradesh,3,Sabalagadh,AMBICA SINGHDEO,Indian National Congress,41157,296,41453,29.89
S12,Madhya Pradesh,3,Sabalagadh,DR. AKASH KUMAR,Aam Aadmi Party,1845,27,1872,1.35
S12,Madhya Pradesh,3,Sabalagadh,DURGESH SAHU,Janta Congress Chhattisgarh (J),469,3,472,0.34
S12,Madhya Pradesh,3,Sabalagadh,BHAIYA LAL RAJWADE,Bharatiya Janata Party,66311,555,66866,48.21
S12,Madhya Pradesh,3,Sabalagadh,MEJOR PRASAD YADAV,Bhartiya Shakti Chetna Party,1423,3,1426,1.03
S12,Madhya Pradesh,3,Sabalagadh,SOMAR SAI LOHAR,Samajwadi Party,746,0,746,0.54
S12,Madhya Pradesh,3,Sabalagadh,ENGINEER SANJAY SINGH KAMRO,Gondvana Gantantra Party,23198,90,23288,16.79
S12,Madhya Pradesh,3,Sabalagadh,BRIJ MOHAN SAHU,Independent,648,1,649,0.47
S12,Madhya Pradesh,3,Sabalagadh,NOTA,None of the Above,1929,5,1934,1.39
S12,Madhya Pradesh,4,Jaura,KHEL SAI SINGH,Indian National Congress,66253,414,66667,34.59
S12,Madhya Pradesh,4,Jaura,BHULAN SINGH MARABI,Bharatiya Janata Party,99412,545,99957,51.87
S12,Madhya Pradesh,4,Jaura,KOTAMA,Bhartiya Shakti Chetna Party,1803,1,1804,0.94
S12,Madhya Pradesh,4,Jaura,JAYNATH KERAM,Gondvana Gantantra Party,14463,99,14562,7.56
S12,Madhya Pradesh,4,Jaura,TILESHWARI SANDILYA,Ambedkarite Party of India,939,2,941,0.49
S12,Madhya Pradesh,4,Jaura,ANGAD SHRIWASH,Independent,458,1,459,0.24
S12,Madhya Pradesh,4,Jaura,KHELSAI,Independent,398,2,400,0.21
S12,Madhya Pradesh,4,Jaura,GANESH SINGH URRE,Independent,377,1,378,0.2
S12,Madhya Pradesh,4,Jaura,BHULAN SINGH,Independent,598,1,599,0.31
S12,Madhya Pradesh,4,Jaura,RAJESH KUMAR JAGATE,Independent,756,2,758,0.39
S12,Madhya Pradesh,4,Jaura,SURAJ RAVI,Independent,932,4,936,0.49
S12,Madhya Pradesh,4,Jaura,SANTOSH VISHWAKARMA,Independent,1718,0,1718,0.89
S12,Madhya Pradesh,4,Jaura,NOTA,None of the Above,3537,2,3539,1.84
S12,Madhya Pradesh,5,Sumaoli,KAPIL DEV PAIKRA,Communist Party of India (Marxist),2015,3,2018,1.04
S12,Madhya Pradesh,5,Sumaoli,NARENDRA SAHU,Bahujan Samaj Party,11401,40,11441,5.88
S12,Madhya Pradesh,5,Sumaoli,PARASNATH RAJWADE,Indian National Congress,60804,396,61200,31.46
S12,Madhya Pradesh,5,Sumaoli,LAXMI RAJWADE,Bharatiya Janata Party,104662,500,105162,54.06
S12,Madhya Pradesh,5,Sumaoli,SAMAYLAL PATIL,Janta Congress Chhattisgarh (J),1847,4,1851,0.95
S12,Madhya Pradesh,5,Sumaoli,SURENDRA GUPTA,Aam Aadmi Party,1069,11,1080,0.56
S12,Madhya Pradesh,5,Sumaoli,AJAY KUMAR KUSHWAHA,National Youth Party,299,0,299,0.15
S12,Madhya Pradesh,5,Sumaoli,DHARMENDRA KUMAR,Samajwadi Party,432,0,432,0.22
S12,Madhya Pradesh,5,Sumaoli,MOTILAL PAIKRA,Hamar Raj Party,1130,44,1174,0.6
S12,Madhya Pradesh,5,Sumaoli,SONULAL BHAGAT,Rashtriya Gondvana Party,645,5,650,0.33
S12,Madhya Pradesh,5,Sumaoli,ARVIND SHARAN SINGH,Independent,997,6,1003,0.52
S12,Madhya Pradesh,5,Sumaoli,ASHOK KUMAR RAJWADE,Independent,813,1,814,0.42
S12,Madhya Pradesh,5,Sumaoli,AALAM SINGH,Independent,1163,0,1163,0.6
S12,Madhya Pradesh,5,Sumaoli,KALAWATI SARTHI,Independent,1487,1,1488,0.76
S12,Madhya Pradesh,5,Sumaoli,DILIP KUMAR YADAV,Independent,990,0,990,0.51
S12,Madhya Pradesh,5,Sumaoli,PARAS RAJWADE,Independent,2562,3,2565,1.32
S12,Madhya Pradesh,5,Sumaoli,RAMBAI DEVANGAN,Independent,561,3,564,0.29
S12,Madhya Pradesh,5,Sumaoli,NOTA,None of the Above,635,2,637,0.33
S12,Madhya Pradesh,6,Morena,RAJKUMARI SHIVBHAJAN MARABI,Indian National Congress,71723,365,72088,37.5
S12,Madhya Pradesh,6,Morena,RAJA RAM SHYAM,Aam Aadmi Party,4838,32,4870,2.53
S12,Madhya Pradesh,6,Morena,SHAKUNTALA SINGH PORTEY,Bharatiya Janata Party,83390,406,83796,43.59
S12,Madhya Pradesh,6,Morena,SUNDAR LAL SHYAM,Janta Congress Chhattisgarh (J),1464,2,1466,0.76
S12,Madhya Pradesh,6,Morena,GEETA SONHA,Hamar Raj Party,1298,13,1311,0.68
S12,Madhya Pradesh,6,Morena,JAGMOHAN SINGH,Gondvana Gantantra Party,17013,28,17041,8.86
S12,Madhya Pradesh,6,Morena,RAMNARAYAN SINGH,Ambedkarite Party of India,894,3,897,0.47
S12,Madhya Pradesh,6,Morena,SEETARAM PANDO,Samajwadi Party,548,1,549,0.29
S12,Madhya Pradesh,6,Morena,ASHA DEVI POYA,Independent,732,1,733,0.38
S12,Madhya Pradesh,6,Morena,DEVKUMARI AYAM,Independent,666,2,668,0.35
S12,Madhya Pradesh,6,Morena,NAINENDRA SINGH MARAVI,Independent,1542,2,1544,0.8
S12,Madhya Pradesh,6,Morena,RAJKUMARI SINGH,Independent,1427,0,1427,0.74
S12,Madhya Pradesh,6,Morena,SAKUNTLA,Independent,1497,4,1501,0.78
S12,Madhya Pradesh,6,Morena,NOTA,None of the Above,4348,3,4351,2.26
S12,Madhya Pradesh,7,Dimani,DR. AJAY KUMAR TIRKEY,Indian National Congress,69367,544,69911,38.32
S12,Madhya Pradesh,7,Dimani,NEELAM DIDI,Aam Aadmi Party,1869,10,1879,1.03
S12,Madhya Pradesh,7,Dimani,RAM VICHAR NETAM,Bharatiya Janata Party,99107,467,99574,54.58
S12,Madhya Pradesh,7,Dimani,GYANI SINGH,Janta Congress Chhattisgarh (J),1672,2,1674,0.92
S12,Madhya Pradesh,7,Dimani,UPENDRA MURUM,Hamar Raj Party,603,1,604,0.33
S12,Madhya Pradesh,7,Dimani,DAYASHANKAR MARKAM,Gondvana Gantantra Party,1714,3,1717,0.94
S12,Madhya Pradesh,7,Dimani,RAMVILAS PANDO,Samajwadi Party,331,0,331,0.18
S12,Madhya Pradesh,7,Dimani,AJAY TIRKY,Independent,373,7,380,0.21
S12,Madhya Pradesh,7,Dimani,KARAMCHAND SINGH,Independent,810,5,815,0.45
S12,Madhya Pradesh,7,Dimani,PRATIBHA SINGH,Independent,1274,4,1278,0.7
S12,Madhya Pradesh,7,Dimani,SURAJDEV SINGH,Independent,772,0,772,0.42
S12,Madhya Pradesh,7,Dimani,NOTA,None of the Above,3499,2,3501,1.92
S12,Madhya Pradesh,8,Ambah,ANAND TIGGA,Bahujan Samaj Party,4982,52,5034,2.75
S12,Madhya Pradesh,8,Ambah,UDHHESHWARI PAIKRA,Bharatiya Janata Party,82963,520,83483,45.53
S12,Madhya Pradesh,8,Ambah,DEVGANESH SINGH TEKAM,Aam Aadmi Party,2188,21,2209,1.2
S12,Madhya Pradesh,8,Ambah,PRABHAT BELA MARKAM,Janta Congress Chhattisgarh (J),1132,7,1139,0.62
S12,Madhya Pradesh,8,Ambah,VIJAY PAIKRA,Indian National Congress,68988,552,69540,37.93
S12,Madhya Pradesh,8,Ambah,PARSHURAM BHAGAT,Hamar Raj Party,3987,53,4040,2.2
S12,Madhya Pradesh,8,Ambah,BALASIYUS TIGGA,Bahujan Mukti Party,1006,6,1012,0.55
S12,Madhya Pradesh,8,Ambah,VIDYASAGAR PAIKRA,Janata Congress,761,2,763,0.42
S12,Madhya Pradesh,8,Ambah,SHITAL KHALKHO,Communist Party of India,3155,1,3156,1.72
S12,Madhya Pradesh,8,Ambah,PRABHU RAM BHAGAT,Independent,2797,12,2809,1.53
S12,Madhya Pradesh,8,Ambah,SACHIN KUMAR,Independent,910,1,911,0.5
S12,Madhya Pradesh,8,Ambah,SUDAMA BHAGAT,Independent,1920,2,1922,1.05
S12,Madhya Pradesh,8,Ambah,SANTOSH TIGGA,Independent,2356,2,2358,1.29
