st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,61,Chitrakoot,ASHOK ADIL,Bahujan Samaj Party,1411,17,1428,0.7
S12,Madhya Pradesh,61,Chitrakoot,KUNWER SINGH NISHAD,Indian National Congress,102745,446,103191,50.35
S12,Madhya Pradesh,61,Chitrakoot,JASWANT SINHA,Aam Aadmi Party,3195,37,3232,1.58
S12,Madhya Pradesh,61,Chitrakoot,RAJENDRA RAI,Janta Congress Chhattisgarh (J),1327,8,1335,0.65
S12,Madhya Pradesh,61,Chitrakoot,VIRENDRA SAHU,Bharatiya Janata Party,87826,502,88328,43.1
S12,Madhya Pradesh,61,Chitrakoot,TOMAN LAL SAHU,Lok Janshakti Party(Ram Vilas),886,2,888,0.43
S12,Madhya Pradesh,61,Chitrakoot,MURALIDHAR SAHU,Hamar Raj Party,586,5,591,0.29
S12,Madhya Pradesh,61,Chitrakoot,YASHWANT BELCHANDAN,Johar Chhattisgarh Party,417,2,419,0.2
S12,Madhya Pradesh,61,Chitrakoot,INDRA KUMAR DAHARE,Independent,624,2,626,0.31
S12,Madhya Pradesh,61,Chitrakoot,KALPANA DEVI,Independent,724,4,728,0.36
S12,Madhya Pradesh,61,Chitrakoot,DADURAM SAHU,Independent,355,0,355,0.17
S12,Madhya Pradesh,61,Chitrakoot,DAULAT RAM KOSARE,Independent,709,3,712,0.35
S12,Madhya Pradesh,61,Chitrakoot,RAMAN KUMAR SAHU,Independent,1246,0,1246,0.61
S12,Madhya Pradesh,61,Chitrakoot,NOTA,None of the Above,1858,10,1868,0.91
