st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S26,Chhattisgarh,78,Mohal - Manpur,INDRASHAH MANDAVI,Indian National Congress,77112,342,77454,57.79
S26,Chhattisgarh,78,Mohal - Manpur,NAGESH PURAM,Janta Congress Chhattisgarh (J),1099,8,1107,0.83
S26,Chhattisgarh,78,Mohal - Manpur,SANJEEV SHAH,Bharatiya Janata Party,45343,370,45713,34.11
S26,Chhattisgarh,78,Mohal - Manpur,YUVRAJ NETAM,Hamar Raj Party,1295,21,1316,0.98
S26,Chhattisgarh,78,Mohal - Manpur,RAJENDRA KUMAR USARE,Gondvana Gantantra Party,1004,11,1015,0.76
S26,Chhattisgarh,78,Mohal - Manpur,SIYARAM NURETI,Ambedkarite Party of India,850,8,858,0.64
S26,Chhattisgarh,78,Mohal - Manpur,HEMLAL DARRO,Forward Democratic Labour Party,1254,0,1254,0.94
S26,Chhattisgarh,78,Mohal - Manpur,BRAMHARAM MANDAVI,Independent,1220,5,1225,0.91
S26,Chhattisgarh,78,Mohal - Manpur,RAMFAL PATIL,Independent,729,2,731,0.55
S26,Chhattisgarh,78,Mohal - Manpur,NOTA,None of the Above,3346,8,3354,2.5
